stemming,inset,nilai_inset,matched_words
"['chale', 'man', 'start', 'dey', 'crypto', 'football', 'ay', 'kak', 'aa', 'bitcoin', 'gue', 'h']",negative,-1,man(-1.0)
"['bitcoin', 'orange', 'ogsatoshis']",negative,-1,
"['wahyus', 'problem', 'besar', 'selesai', 'web', 'risiko', 'orang', 'orang', 'problem', 'besar', 'kerusakanya', 'web', 'orang', 'kuasa', 'fraud', 'cipta', 'dev', 'bitcoin', 'colong', 'duit']",negative,-1,"problem(-4.0), besar(4.0), selesai(2.0), risiko(-3.0), problem(-4.0), besar(4.0), kuasa(3.0), colong(-5.0)"
"['boomer', 'bilang', 'underwear', 'eh', 'underlyingnya', 'bitcoin']",negative,-1,
"['ek', 'aisi', 'wife', 'main', 'bhi', 'deserve', 'karta', 'hu', 'yaar']",positive,1,main(2.0)
"['bitcoin', 'ziba', 'ntangawuuzi', 'zebalima', 'kumbalama', 'ze', 'nyanja', 'pamela']",negative,-1,
"['bitcoin', 'btc', 'alami', 'turun', 'signifikan', 'februari', 'kisar', 'harga', 'stabil', 'kali', 'november', 'btc', 'turun', 'turun', 'rebound', 'simak', 'analisis', 'lengkap']",positive,1,"alami(-3.0), turun(1.0), harga(3.0), stabil(3.0), turun(1.0), turun(1.0), simak(3.0), analisis(4.0), lengkap(2.0)"
"['orang', 'cerita', 'depa', 'lupa', 'wallet', 'bitcoin', 'beli', 'btc', 'rega', 'puluh', 'dollar']",positive,1,"cerita(2.0), lupa(1.0), beli(2.0)"
"['bitcoin', 'si', 'relation', 'fear', 'crypto', 'fear', 'greed', 'index', 'titik', 'rendah', 'bull', 'run', 'gerak', 'harga', 'fear', 'level', 'posisi', 'btc', 'alami', 'turun', 'tajam']",negative,-1,"titik(-3.0), rendah(-5.0), harga(3.0), alami(-3.0), turun(1.0), tajam(4.0)"
"['amp', 'trump', 'janji', 'nak', 'rizab', 'bitcoin', 'token', 'trump', 'amp', 'tariff', 'war', 'reality', 'expectation', 'market', 'dump', 'lepas', 'trump', 'tarif', 'eu', 'si', 'amp', 'p']",negative,-1,lepas(-2.0)
"['tau', 'sih', 'network', 'dikonversiin', 'bitcoin', 'loh', 'network', 'biar', 'dikonversiin', 'bitcoinya', 'cek', 'artikel']",negative,-1,"tau(-4.0), biar(1.0), cek(-4.0), artikel(-4.0)"
"['mio', 'ti', 'e', 'kerora', 'lori', 'bitcoin', 'shey', 'wale', 'ri', 'pe', 'nih', 'igba', 'ti', 'los', 'oke', 'fo', 'ju', 'je', 'nih', 'eni', 'oju', 'owo', 'lo', 'ojo', 'iku']",positive,1,oke(2.0)
"['masyarakat', 'dunia', 'takut', 'fear', 'amp', 'greed', 'index', 'bitcoin', 'sentuh', 'level', 'takut', 'tinggi', 'sejarah', 'bukti', 'index', 'btc', 'index', 'lantai', 'btc', 'bullrun', 'bearish']",positive,1,"dunia(1.0), takut(1.0), sentuh(1.0), takut(1.0), tinggi(3.0), bukti(-3.0)"
"['bitcoin', 'turun', 'altcoin', 'relatif', 'diam', 'turun', 'banget', 'dekat', 'support', 'kayak', 'ethereum', 'nih']",positive,1,"turun(1.0), diam(1.0), turun(1.0), banget(1.0), dekat(1.0), support(4.0), kayak(-3.0)"
"['fidelity', 'jual', 'dompet', 'bitcoin', 'pikir', 'fidelity', 'bear', 'market', 'jual', 'ribu', 'nya', 'fidelity', 'pintar', 'pintar', 'ngelola', 'dana', 'pensiun', 'blackrock', 'bitcoin']",positive,1,"jual(1.0), pikir(1.0), jual(1.0), dana(4.0), pensiun(-3.0)"
"['umum', 'umum', 'harga', 'bitcoin', 'rp', 'miliar', 'loh', 'yuk', 'cek', 'gera', 'bitcoin']",positive,1,"umum(1.0), umum(1.0), harga(3.0), yuk(4.0), cek(-4.0)"
"['kasi', 'diskon', 'bitcoin', 'harga', 'us', 'kali', 'sebab', 'sih', 'lengkap']",positive,1,"kasi(-3.0), diskon(2.0), harga(3.0), sebab(3.0), lengkap(2.0)"
"['komplain', 'ceo', 'bitcoin']",negative,-1,
"['gm', 'bitcoin', 'rrp', 'milyar', 'tariff', 'eropa', 'hantam', 'dxy', 'kuat', 'wow', 'saldo', 'altcoin', 'bitcoin', 'kemarin', 'bilang', 'analisanya', 'bitcoin', 'beli', 'alt', 'rsi']",positive,1,"hantam(-5.0), kuat(2.0), saldo(2.0), beli(2.0)"
"['bitcoin', 'merah', 'tebal', 'altcoin', 'cuek', 'tumben']",positive,1,"merah(4.0), cuek(1.0), tumben(-2.0)"
"['bitski', 'art', 'mfbrat', 'eth', 'ticklesnarf', 'aeonsbtc', 'banksy', 'bitcoin', 'iykyk']",negative,-1,
"['sbtc', 'minted', 'stacks', 'sbitcoin', 'szn']",negative,-1,
"['bitcoin', 'us', 'nih', 'turun']",positive,1,turun(1.0)
"['usdt', 'orang', 'bitcoin']",negative,-1,
"['bitcoin', 'usd', 'sahi', 'iko', 'usd', 'niambie', 'investment', 'inaeza', 'kumakia', 'profit', 'margins']",positive,1,profit(4.0)
"['isomeke', 'hivi', 'pamba', 'jiji', 'yaahidiwa', 'nya', 'gsm', 'isimfunge', 'yanga', 'sisi', 'siyo', 'wajinga', 'bana']",negative,-1,jiji(-4.0)
"['huyu', 'naye', 'nih', 'bitcoin', 'walai']",negative,-1,
"['oke', 'dapat', 'bitcoin', 'satu', 'koin', 'scam', 'percaya', 'bitcoin', 'capai', 'juta', 'dollar', 'aset', 'super', 'harga', 'layak', 'emas', 'perhati', 'token']",positive,1,"oke(2.0), dapat(2.0), satu(3.0), percaya(2.0), capai(4.0), juta(2.0), super(3.0), harga(3.0), layak(3.0)"
"['kak', 'baap']",negative,-1,
"['king', 'crypto', 'cari', 'bahan', 'jiwa', 'ada', 'f', 'mahar', 'bitcoin', 'euy']",negative,-1,"cari(-3.0), bahan(-3.0), ada(4.0)"
['tamannaah'],negative,-1,
"['euphoria', 'bentuk', 'anxiety']",positive,1,bentuk(4.0)
"['erictrump', 'dukung', 'investasi', 'bitcoin', 'seru', 'investor', 'buy', 'dips', 'harga', 'btc', 'turun', 'drastis', 'hari']",positive,1,"dukung(4.0), seru(5.0), harga(3.0), turun(1.0), drastis(4.0)"
"['pandang', 'layer', 'asumsi', 'brand', 'smartphone', 'bitcoin', 'motorola', 'solana', 'apple', 'etherium', 'google', 'pixel', 'sonic', 'asus', 'bnb', 'xiaomi', 'sui', 'huawei', 'tia', 'samsung', 'bera', 'ip', 'sony', 'hyperliquid', 'oppo', 'network', 'nexian', 'cardano', 'blackberry']",negative,-1,"pandang(1.0), asumsi(-3.0), smartphone(1.0)"
"['kuat', 'emas', 'bitcoin']",positive,1,kuat(2.0)
"['bitcoin', 'drop', 'fakta', 'break', 'closed', 'emak', 'waspada', 'turun', 'support', 'kuat', 'titik', 'pantul', 'rsi', 'tembus', 'anjlok', 'volume', 'jual', 'panic', 'sell']",negative,-1,"drop(-3.0), fakta(-3.0), closed(-3.0), waspada(3.0), turun(1.0), support(4.0), kuat(2.0), titik(-3.0), tembus(3.0), anjlok(-4.0), jual(1.0)"
"['umum', 'umum', 'harga', 'bitcoin', 'rp', 'miliar', 'loh', 'yuk', 'cek', 'gera', 'bitcoin']",positive,1,"umum(1.0), umum(1.0), harga(3.0), yuk(4.0), cek(-4.0)"
"['bitcoin', 'cezp', 'f', 'fes', 'ycutkep', 'sih', 'cmmgrsjgkrmsg', 'moon']",negative,-1,
"['gm', 'bitcoin', 'jatuh', 'capai', 'garis', 'salah', 'excuse', 'ya', 'salah', 'maaf', 'ya', 'consumer', 'confidence', 'ambrol', 'harga', 'rumah', 'efek', 'mana', 'rate', 'cut', 'btc', 'btc', 'saldo', 'altcoin', 'recoverynya', 'cepat', 'rsi']",positive,1,"jatuh(1.0), capai(4.0), garis(-3.0), salah(-4.0), ya(4.0), salah(-4.0), maaf(2.0), ya(4.0), harga(3.0), rumah(3.0), efek(3.0), saldo(2.0), cepat(3.0)"
"['ytd', 'returns', 'si', 'amp', 'p', 'nasdaq', 'bitcoin', 'schd']",negative,-1,
"['ohthatsoomf', 'uta', 'denpa', 'dks', 'tazmanian', 'rapid', 'trigger', 'tech', 'deh', 'jesus', 'nofail', 'spunout', 'toromivana', 'boots', 'bitcoin', 'hacked', 'crypto']",negative,-1,
['senin'],negative,-1,
"['eth', 'olur', 'mu']",negative,-1,
"['predict', 'orang', 'die', 'btc', 'analysis', 'h', 'cc', 'algotrade', 'nfa', 'amp', 'dyor']",negative,-1,die(-4.0)
"['olur', 'mu']",negative,-1,
"['slurpn', 'bitcoin', 'dips']",negative,-1,
"['bitcoin', 'harga', 'bnb']",positive,1,harga(3.0)
"['intern', 'industry', 'web', 'video', 'cocok', 'pas', 'kali', 'intern', 'web']",positive,1,"cocok(4.0), pas(3.0)"
"['market', 'merah', 'bitcoin', 'anjlok', 'altcoin', 'nyungsep', 'gara', 'gara', 'trump', 'ngumumin', 'tarif', 'impor', 'negara', 'memang', 'bijak', 'ekonomi', 'kayak', 'ngefek', 'kripto', 'save', 'biar', 'bingung']",negative,-1,"merah(4.0), anjlok(-4.0), gara(-4.0), gara(-4.0), memang(4.0), bijak(3.0), kayak(-3.0), biar(1.0)"
"['lucu', 'lihat', 'timeline', 'twitter', 'orang', 'panik', 'bitcoin', 'banting', 'cme', 'gap', 'siap', 'planning', 'antisipasi', 'bitcoin', 'jatuh', 'warning', 'tanda', 'tanda', 'langit', 'mendung']",positive,1,"lucu(3.0), lihat(3.0), panik(-4.0), banting(1.0), siap(1.0), antisipasi(3.0), jatuh(1.0), tanda(-2.0), tanda(-2.0), mendung(-3.0)"
"['mayoritas', 'cryptobro', 'bitcoin', 'jadi', 'nih', 'berani', 'beli']",positive,1,"jadi(1.0), beli(2.0)"
"['expecting', 'bitcoin', 'turun', 'bareng', 'dom', 'nya', 'alts', 'start', 'building', 'bottom', 'btc', 'nemu', 'bottom', 'situ', 'altcoin']",positive,1,"turun(1.0), bareng(3.0), nemu(-2.0)"
"['bitcoin', 'solana', 'ufd', 'fking', 'holding', 'line', 'iykyk']",negative,-1,
"['son', 'durum']",negative,-1,
"['hati', 'hati', 'kata', 'cz', 'loh', 'situ', 'cz', 'bitcoin', 'sentuh', 'harga', 'pertama', 'crash', 'postingan', 'des', 'loh']",positive,1,"hati(2.0), hati(2.0), kata(-1.0), sentuh(1.0), harga(3.0), crash(-4.0)"
"['nih', 'bitcoin', 'jatohnya', 'us', 'gan']",negative,-1,jatohnya(-1.0)
"['breaking', 'bitcoin', 'turun']",positive,1,turun(1.0)
"['btc', 'diagonal', 'support', 'rsi', 'hmo', 'oversold', 'pantau', 'support', 'psikologi']",positive,1,"support(4.0), pantau(2.0), support(4.0)"
"['aromapetrikorr', 'bayar', 'pajak', 'mas', 'bitcoin', 'bencana', 'alam', 'orang', 'orang', 'donasi', 'kumpul', 'ber', 'open', 'donasi', 'dana', 'kumpul', 'tugas', 'negaraa', 'rakyat', 'rakyat', 'perintah', 'kapai']",negative,-1,"bayar(1.0), pajak(-3.0), bencana(-5.0), alam(2.0), open(-3.0), dana(4.0), tugas(-1.0)"
"['bitcoin', 'turun', 'je', 'cipta', 'extreme', 'fear', 'perkara', 'nih', 'turun', 'bitcoin', 'turun', 'altcoin', 'retail', 'reality', 'check', 'pilih', 'altcoin', 'lepas', 'nih', 'kena', 'memecoin', 'amp', 'vc', 'coin', 'sentiasa', 'wujud']",negative,-1,"turun(1.0), perkara(-4.0), turun(1.0), turun(1.0), check(1.0), pilih(-2.0), lepas(-2.0), kena(-3.0), wujud(2.0)"
"['ethereum', 'banting', 'prediksi', 'ethereum', 'uji', 'resistance', 'salah', 'ethereum', 'turun', 'bitcoin', 'banting', 'langkah', 'antisipasi', 'trading', 'cicil', 'inti', 'sih', 'turun', 'planning']",positive,1,"banting(1.0), prediksi(3.0), uji(1.0), salah(-4.0), turun(1.0), banting(1.0), langkah(4.0), antisipasi(3.0), turun(1.0)"
"['andikamalreza', 'kerja', 'nipu', 'orang', 'crypto', 'kelas', 'juta', 'ajar', 'invest', 'altcoin', 'rungkad', 'stabil', 'bitcoin', 'protes', 'kelas', 'mute', 'moderator']",negative,-1,"kerja(2.0), kelas(-3.0), juta(2.0), ajar(1.0), stabil(3.0), protes(-3.0), kelas(-3.0), moderator(-3.0)"
"['umum', 'umum', 'harga', 'bitcoin', 'rp', 'miliar', 'loh', 'yuk', 'cek', 'gera', 'bitcoin']",positive,1,"umum(1.0), umum(1.0), harga(3.0), yuk(4.0), cek(-4.0)"
"['plan', 'b', 'mi', 'plan', 'b']",negative,-1,
"['gm', 'btc', 'skem', 'jual', 'rrp', 'dxy', 'emas', 'hold', 'salah', 'pokok', 'pokok', 'bitcoin', 'skem', 'rsi', 'long', 'trump', 'kekeh', 'tariff', 'rem', 'rem', 'saham']",negative,-1,"jual(1.0), salah(-4.0), pokok(3.0), pokok(3.0), rem(-5.0), rem(-5.0)"
"['bitcoin', 'hujung', 'nih', 'rezeki', 'memecoin', 'trump', 'melania', 'etc', 'solana', 'kill', 'vibe', 'orang', 'trust', 'cryptocurrency', 'bitcoin', 'majority', 'cryptcurrency', 'nih', 'yield', 'hold', 'dividen', 'etc', 'way']",negative,-1,"hujung(-3.0), rezeki(3.0)"
"['fat', 'bry', 'kemgelapan', 'bitcoin', 'pasuk', 'koin', 'micin', 'saran', 'persen', 'public', 'equity', 'us', 'dilakuin', 'norges', 'bank', 'altcoin']",positive,1,"pasuk(2.0), saran(2.0), persen(2.0)"
"['misteri', 'saylor', 'beli', 'bitcoin', 'kena', 'koreksi']",negative,-1,"beli(2.0), kena(-3.0)"
"['bitcoin', 'terjun', 'altcoin', 'ya', 'debu', 'total', 'likuidasi', 'market', 'kripto', 'jam', 'nyentuh', 'us', 'juta', 'sebab', 'trump', 'konfirmasi', 'tarif', 'kanada', 'amp', 'meksiko', 'serok', 'nih']",positive,1,"terjun(1.0), ya(4.0), debu(-3.0), juta(2.0), sebab(3.0), konfirmasi(3.0)"
"['eyvallahdedi', 'babos', 'ustunol', 'brrnkrgn', 'amisos', 'yasminbjk', 'haa', 'amin', 'sarem', 'ay', 'harika', 'bir', 'bitcoin']",negative,-1,"amin(3.0), bir(-5.0)"
