stemming,inset,senti
chale man start dey crypto football ay kak aa bitcoin gue h,negative,negative
bitcoin orange ogsatoshis,negative,negative
wahyus problem besar selesai web risiko orang orang problem besar kerusakanya web orang kuasa fraud cipta dev bitcoin colong duit,negative,positive
boomer bilang underwear eh underlyingnya bitcoin,negative,negative
ek aisi wife main bhi deserve karta hu yaar,positive,negative
bitcoin ziba ntangawuuzi zebalima kumbalama ze nyanja pamela,negative,negative
bitcoin btc alami turun signifikan februari kisar harga stabil kali november btc turun turun rebound simak analisis lengkap,positive,negative
orang cerita depa lupa wallet bitcoin beli btc rega puluh dollar,positive,negative
bitcoin si relation fear crypto fear greed index titik rendah bull run gerak harga fear level posisi btc alami turun tajam,negative,negative
amp trump janji nak rizab bitcoin token trump amp tariff war reality expectation market dump lepas trump tarif eu si amp p,negative,negative
tau sih network dikonversiin bitcoin loh network biar dikonversiin bitcoinya cek artikel,negative,negative
mio ti e kerora lori bitcoin shey wale ri pe nih igba ti los oke fo ju je nih eni oju owo lo ojo iku,positive,positive
masyarakat dunia takut fear amp greed index bitcoin sentuh level takut tinggi sejarah bukti index btc index lantai btc bullrun bearish,positive,negative
bitcoin turun altcoin relatif diam turun banget dekat support kayak ethereum nih,positive,negative
fidelity jual dompet bitcoin pikir fidelity bear market jual ribu nya fidelity pintar pintar ngelola dana pensiun blackrock bitcoin,positive,positive
umum umum harga bitcoin rp miliar loh yuk cek gera bitcoin,positive,negative
kasi diskon bitcoin harga us kali sebab sih lengkap,positive,negative
komplain ceo bitcoin,negative,negative
gm bitcoin rrp milyar tariff eropa hantam dxy kuat wow saldo altcoin bitcoin kemarin bilang analisanya bitcoin beli alt rsi,positive,positive
bitcoin merah tebal altcoin cuek tumben,positive,negative
bitski art mfbrat eth ticklesnarf aeonsbtc banksy bitcoin iykyk,negative,negative
sbtc minted stacks sbitcoin szn,negative,negative
bitcoin us nih turun,positive,negative
usdt orang bitcoin,negative,negative
bitcoin usd sahi iko usd niambie investment inaeza kumakia profit margins,positive,negative
