full_text,case_folding,tokens,normalized,stopword_removal,stemming
Chale Your man start dey do Crypto Football ay ka aa bitcoin w h,chale your man start dey do crypto football ay ka aa bitcoin w h,"['chale', 'your', 'man', 'start', 'dey', 'do', 'crypto', 'football', 'ay', 'ka', 'aa', 'bitcoin', 'w', 'h']","['chale', 'your', 'man', 'start', 'dey', 'di', 'crypto', 'football', 'ay', 'kak', 'aa', 'bitcoin', 'gue', 'h']","['chale', 'man', 'start', 'dey', 'crypto', 'football', 'ay', 'kak', 'aa', 'bitcoin', 'gue', 'h']","['chale', 'man', 'start', 'dey', 'crypto', 'football', 'ay', 'kak', 'aa', 'bitcoin', 'gue', 'h']"
Bitcoin Orange OGsatoshis,bitcoin orange ogsatoshis,"['bitcoin', 'orange', 'ogsatoshis']","['bitcoin', 'orange', 'ogsatoshis']","['bitcoin', 'orange', 'ogsatoshis']","['bitcoin', 'orange', 'ogsatoshis']"
WahyuS Problem terbesar yg diselesaikan web adalah risiko orang dalam Orang dalam adalah problem terbesar dan kerusakanya sangat luar biasa Di mana di web orang dalam punya kuasa dan bisa fraud Pencipta dev Bitcoin gak bisa nyolong duit Anda,wahyus problem terbesar yg diselesaikan web adalah risiko orang dalam orang dalam adalah problem terbesar dan kerusakanya sangat luar biasa di mana di web orang dalam punya kuasa dan bisa fraud pencipta dev bitcoin gak bisa nyolong duit anda,"['wahyus', 'problem', 'terbesar', 'yg', 'diselesaikan', 'web', 'adalah', 'risiko', 'orang', 'dalam', 'orang', 'dalam', 'adalah', 'problem', 'terbesar', 'dan', 'kerusakanya', 'sangat', 'luar', 'biasa', 'di', 'mana', 'di', 'web', 'orang', 'dalam', 'punya', 'kuasa', 'dan', 'bisa', 'fraud', 'pencipta', 'dev', 'bitcoin', 'gak', 'bisa', 'nyolong', 'duit', 'anda']","['wahyus', 'problem', 'terbesar', 'yang', 'diselesaikan', 'web', 'adalah', 'risiko', 'orang', 'dalam', 'orang', 'dalam', 'adalah', 'problem', 'terbesar', 'dan', 'kerusakanya', 'sangat', 'luar', 'biasa', 'di', 'mana', 'di', 'web', 'orang', 'dalam', 'punya', 'kuasa', 'dan', 'bisa', 'fraud', 'pencipta', 'dev', 'bitcoin', 'enggak', 'bisa', 'mencolong', 'duit', 'anda']","['wahyus', 'problem', 'terbesar', 'diselesaikan', 'web', 'risiko', 'orang', 'orang', 'problem', 'terbesar', 'kerusakanya', 'web', 'orang', 'kuasa', 'fraud', 'pencipta', 'dev', 'bitcoin', 'mencolong', 'duit']","['wahyus', 'problem', 'besar', 'selesai', 'web', 'risiko', 'orang', 'orang', 'problem', 'besar', 'kerusakanya', 'web', 'orang', 'kuasa', 'fraud', 'cipta', 'dev', 'bitcoin', 'colong', 'duit']"
Buat ngejelasin ke boomer yang bilang Underwear eh underlyingnya bitcoin itu apa,buat ngejelasin ke boomer yang bilang underwear eh underlyingnya bitcoin itu apa,"['buat', 'ngejelasin', 'ke', 'boomer', 'yang', 'bilang', 'underwear', 'eh', 'underlyingnya', 'bitcoin', 'itu', 'apa']","['buat', 'menjelaskan', 'ke', 'boomer', 'yang', 'bilang', 'underwear', 'eh', 'underlyingnya', 'bitcoin', 'itu', 'apa']","['boomer', 'bilang', 'underwear', 'eh', 'underlyingnya', 'bitcoin']","['boomer', 'bilang', 'underwear', 'eh', 'underlyingnya', 'bitcoin']"
Ek aisi wife to main bhi deserve karta hu yaar,ek aisi wife to main bhi deserve karta hu yaar,"['ek', 'aisi', 'wife', 'to', 'main', 'bhi', 'deserve', 'karta', 'hu', 'yaar']","['ek', 'aisi', 'wife', 'tapi', 'main', 'bhi', 'deserve', 'karta', 'hu', 'yaar']","['ek', 'aisi', 'wife', 'main', 'bhi', 'deserve', 'karta', 'hu', 'yaar']","['ek', 'aisi', 'wife', 'main', 'bhi', 'deserve', 'karta', 'hu', 'yaar']"
Bitcoin ziba ntangawuuzi zebalima kumbalama ze Nyanja Pamela,bitcoin ziba ntangawuuzi zebalima kumbalama ze nyanja pamela,"['bitcoin', 'ziba', 'ntangawuuzi', 'zebalima', 'kumbalama', 'ze', 'nyanja', 'pamela']","['bitcoin', 'ziba', 'ntangawuuzi', 'zebalima', 'kumbalama', 'ze', 'nyanja', 'pamela']","['bitcoin', 'ziba', 'ntangawuuzi', 'zebalima', 'kumbalama', 'ze', 'nyanja', 'pamela']","['bitcoin', 'ziba', 'ntangawuuzi', 'zebalima', 'kumbalama', 'ze', 'nyanja', 'pamela']"
Bitcoin BTC mengalami penurunan signifikan setelah sebagian besar Februari berada dalam kisaran harga yang stabil Untuk pertama kalinya sejak November BTC turun di bawah Apakah Terus Turun atau Rebound Simak analisis lengkapnya di sini,bitcoin btc mengalami penurunan signifikan setelah sebagian besar februari berada dalam kisaran harga yang stabil untuk pertama kalinya sejak november btc turun di bawah apakah terus turun atau rebound simak analisis lengkapnya di sini,"['bitcoin', 'btc', 'mengalami', 'penurunan', 'signifikan', 'setelah', 'sebagian', 'besar', 'februari', 'berada', 'dalam', 'kisaran', 'harga', 'yang', 'stabil', 'untuk', 'pertama', 'kalinya', 'sejak', 'november', 'btc', 'turun', 'di', 'bawah', 'apakah', 'terus', 'turun', 'atau', 'rebound', 'simak', 'analisis', 'lengkapnya', 'di', 'sini']","['bitcoin', 'btc', 'mengalami', 'penurunan', 'signifikan', 'setelah', 'sebagian', 'besar', 'februari', 'berada', 'dalam', 'kisaran', 'harga', 'yang', 'stabil', 'untuk', 'pertama', 'kalinya', 'sejak', 'november', 'btc', 'turun', 'di', 'bawah', 'apakah', 'terus', 'turun', 'atau', 'rebound', 'simak', 'analisis', 'lengkapnya', 'di', 'sini']","['bitcoin', 'btc', 'mengalami', 'penurunan', 'signifikan', 'februari', 'kisaran', 'harga', 'stabil', 'kalinya', 'november', 'btc', 'turun', 'turun', 'rebound', 'simak', 'analisis', 'lengkapnya']","['bitcoin', 'btc', 'alami', 'turun', 'signifikan', 'februari', 'kisar', 'harga', 'stabil', 'kali', 'november', 'btc', 'turun', 'turun', 'rebound', 'simak', 'analisis', 'lengkap']"
Aku rasa lebih orang dah cerita dekat aku depa lupa wallet bitcoin masa beli btc rega puluh dollar Kalau tidak sekarang,aku rasa lebih orang dah cerita dekat aku depa lupa wallet bitcoin masa beli btc rega puluh dollar kalau tidak sekarang,"['aku', 'rasa', 'lebih', 'orang', 'dah', 'cerita', 'dekat', 'aku', 'depa', 'lupa', 'wallet', 'bitcoin', 'masa', 'beli', 'btc', 'rega', 'puluh', 'dollar', 'kalau', 'tidak', 'sekarang']","['aku', 'rasa', 'lebih', 'orang', 'sudah', 'cerita', 'dekat', 'aku', 'depa', 'lupa', 'wallet', 'bitcoin', 'masa', 'beli', 'btc', 'rega', 'puluh', 'dollar', 'kalau', 'tidak', 'sekarang']","['orang', 'cerita', 'depa', 'lupa', 'wallet', 'bitcoin', 'beli', 'btc', 'rega', 'puluh', 'dollar']","['orang', 'cerita', 'depa', 'lupa', 'wallet', 'bitcoin', 'beli', 'btc', 'rega', 'puluh', 'dollar']"
Bitcoin s Relation with Fear Sekarang crypto fear and greed index sedang berada di titik terendahnya dalam bull run ini Bukan hanya itu pergerakkan harga dan juga fear level sekarang berada di posisi yang sama dengan ketika BTC mengalami penurunan yang tajam di,bitcoin s relation with fear sekarang crypto fear and greed index sedang berada di titik terendahnya dalam bull run ini bukan hanya itu pergerakkan harga dan juga fear level sekarang berada di posisi yang sama dengan ketika btc mengalami penurunan yang tajam di,"['bitcoin', 's', 'relation', 'with', 'fear', 'sekarang', 'crypto', 'fear', 'and', 'greed', 'index', 'sedang', 'berada', 'di', 'titik', 'terendahnya', 'dalam', 'bull', 'run', 'ini', 'bukan', 'hanya', 'itu', 'pergerakkan', 'harga', 'dan', 'juga', 'fear', 'level', 'sekarang', 'berada', 'di', 'posisi', 'yang', 'sama', 'dengan', 'ketika', 'btc', 'mengalami', 'penurunan', 'yang', 'tajam', 'di']","['bitcoin', 'si', 'relation', 'with', 'fear', 'sekarang', 'crypto', 'fear', 'and', 'greed', 'index', 'sedang', 'berada', 'di', 'titik', 'terendahnya', 'dalam', 'bull', 'run', 'ini', 'bukan', 'hanya', 'itu', 'pergerakkan', 'harga', 'dan', 'juga', 'fear', 'level', 'sekarang', 'berada', 'di', 'posisi', 'yang', 'sama', 'dengan', 'ketika', 'btc', 'mengalami', 'penurunan', 'yang', 'tajam', 'di']","['bitcoin', 'si', 'relation', 'fear', 'crypto', 'fear', 'greed', 'index', 'titik', 'terendahnya', 'bull', 'run', 'pergerakkan', 'harga', 'fear', 'level', 'posisi', 'btc', 'mengalami', 'penurunan', 'tajam']","['bitcoin', 'si', 'relation', 'fear', 'crypto', 'fear', 'greed', 'index', 'titik', 'rendah', 'bull', 'run', 'gerak', 'harga', 'fear', 'level', 'posisi', 'btc', 'alami', 'turun', 'tajam']"
amp Trump janji nak ada rizab Bitcoin tapi yang kita dapat token TRUMP amp Tariff War Reality Expectation Market Dump Lepas Trump umum tarif ke atas EU S amp P,amp trump janji nak ada rizab bitcoin tapi yang kita dapat token trump amp tariff war reality expectation market dump lepas trump umum tarif ke atas eu s amp p,"['amp', 'trump', 'janji', 'nak', 'ada', 'rizab', 'bitcoin', 'tapi', 'yang', 'kita', 'dapat', 'token', 'trump', 'amp', 'tariff', 'war', 'reality', 'expectation', 'market', 'dump', 'lepas', 'trump', 'umum', 'tarif', 'ke', 'atas', 'eu', 's', 'amp', 'p']","['amp', 'trump', 'janji', 'nak', 'ada', 'rizab', 'bitcoin', 'tapi', 'yang', 'kita', 'dapat', 'token', 'trump', 'amp', 'tariff', 'war', 'reality', 'expectation', 'market', 'dump', 'lepas', 'trump', 'umum', 'tarif', 'ke', 'atas', 'eu', 'si', 'amp', 'p']","['amp', 'trump', 'janji', 'nak', 'rizab', 'bitcoin', 'token', 'trump', 'amp', 'tariff', 'war', 'reality', 'expectation', 'market', 'dump', 'lepas', 'trump', 'tarif', 'eu', 'si', 'amp', 'p']","['amp', 'trump', 'janji', 'nak', 'rizab', 'bitcoin', 'token', 'trump', 'amp', 'tariff', 'war', 'reality', 'expectation', 'market', 'dump', 'lepas', 'trump', 'tarif', 'eu', 'si', 'amp', 'p']"
